actionmailer, 4.1.5, MIT
actionpack, 4.1.5, MIT
actionview, 4.1.5, MIT
activemodel, 4.1.5, MIT
activerecord, 4.1.5, MIT
activesupport, 4.1.5, MIT
angular-google-maps, 1.1.0, MIT
arel, 5.0.1.20140414130214, MIT
bcrypt, 3.1.7, MIT
builder, 3.2.2, MIT
bundler, 1.6.2, MIT
chunky_png, 1.3.1, MIT
coffee-rails, 4.0.1, MIT
coffee-script, 2.3.0, MIT
coffee-script-source, 1.8.0, MIT
compass, 0.12.7, MIT
compass-rails, 2.0.0, MIT
devise, 3.3.0, MIT
ejs, 1.1.1, MIT
elementaljs-rails, 0.0.11, MIT
erubis, 2.7.0, MIT
execjs, 2.2.1, MIT
faraday, 0.9.0, MIT
foundation-icons-sass-rails, 3.0.0, MIT
foundation-rails, 5.2.2.0, MIT
fssm, 0.2.10, MIT
haml, 4.0.5, MIT
haml-rails, 0.5.3, MIT
hike, 1.2.3, MIT
httparty, 0.13.1, MIT
i18n, 0.6.11, MIT
jbuilder, 2.1.3, MIT
jquery-rails, 3.1.2, MIT
js-routes, 0.9.9, MIT
json, 1.8.1, ruby
kaminari, 0.16.1, MIT
kgio, 2.9.2, LGPL 2.1
mail, 2.5.4, MIT
mime-types, 1.25.1, MIT
mini_portile, 0.6.0, MIT
minitest, 5.4.2, MIT
mono_logger, 1.1.0, MIT
multi_json, 1.10.1, MIT
multi_xml, 0.5.5, MIT
multipart-post, 2.0.0, MIT
netrc, 0.8.0, MIT
newrelic_rpm, 3.9.4.245, MIT
nokogiri, 1.6.3.1, MIT
orm_adapter, 0.5.0, MIT
paper_trail, 3.0.5, MIT
pg, 0.17.1, ruby
polyglot, 0.3.5, MIT
pr_geohash, 1.0.0, MIT
pundit, 0.3.0, MIT
rack, 1.5.2, MIT
rack-protection, 1.5.3, MIT
rack-test, 0.6.2, MIT
rails, 4.1.5, MIT
rails-assets-humanize, 0.0.9, MIT
rails_12factor, 0.0.2, Heroku
rails_serve_static_assets, 0.0.2, Heroku
rails_stdout_logging, 0.0.3, MIT
railties, 4.1.5, MIT
raindrops, 0.13.0, LGPL 2.1
rake, 10.3.2, MIT
rdoc, 4.1.2, ruby
redis, 3.1.0, MIT
redis-namespace, 1.5.1, MIT
resque, 1.25.2, MIT
resque-scheduler, 2.5.1, MIT
resque-sentry, 1.2.0, MIT
rest-client, 1.7.2, MIT
rsolr, 1.0.10, other
rufus-scheduler, 2.0.24, MIT
sass, 3.2.19, MIT
sass-rails, 4.0.3, MIT
sdoc, 0.4.1, MIT
sentry-raven, 0.10.1, Apache 2.0
simple_form, 3.0.2, MIT
sinatra, 1.4.5, MIT
sprockets, 2.11.0, MIT
sprockets-rails, 2.1.4, MIT
sunspot, 2.1.1, MIT
sunspot_matchers, 2.1.1.0, MIT
sunspot_rails, 2.1.1, MIT
thor, 0.19.1, MIT
thread_safe, 0.3.4, Apache 2.0
tilt, 1.4.1, MIT
treetop, 1.4.15, MIT
tzinfo, 1.2.2, MIT
tzinfo-data, 1.2014.8, MIT
uglifier, 2.5.3, MIT
underscore-rails, 1.7.0, MIT
unicorn, 4.8.3, ruby
uuidtools, 2.1.5, Apache 2.0
vegas, 0.1.11, MIT
warden, 1.2.3, MIT
