Serial #,IMEI,SIM type,ICCID #,Batch,FW,Location,BT config,Form,Installed,Status,Comments
DVT001,013949004633296,BT,,DVT1,MP,GJack,OK,,,,
DVT002,013949004628304,BT,,DVT1,MP,GJack,OK,,,,
DVT003,013949004658947,BT,,DVT1,MP,GJack,OK,,,,
DVT004,013949004626811,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT005,013949004661818,ETH,89251011230169166223,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT006,013949004628262,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT007,013949004625276,ETH,89251011230169166264,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT008,013949004635606,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT009,013949004637453,ETH,89251011230169166207,DVT2,MP,In Transit to Ethiopia,OK,,,installed Dec 4,
DVT010,013949004634716,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT011,013949004633312,ETH,89251011230169166447,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT012,013949004627553,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT013,013949004635432,BT,,DVT1,MP,GJack,OK,,,,
DVT014,013949004662428,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT015,013949004635374,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT016,013949004637404,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT017,013949004634864,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT018,013949004660505,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT019,013949004637495,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT020,013949004627579,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT021,013949004628312,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT022,013949004628213,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT023,013949004635564,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT024,013949004635556,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT025,013949004635408,ETH,89251011230169166348,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT026,013949004661800,ETH,89251011230169166355,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT027,013949004626852,ETH,89251011230169166421,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT028,013949004662329,ETH,89251011230169166371,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT029,013949004637529,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,installed Dec 4,
DVT030,013949004628197,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT031,013949004660737,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT032,013949004634732,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT033,013949004628627,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT034,013949004633320,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT035,013949004637370,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT036,013949004634740,BT,,DVT1,MP,NY,OK,,,"Received 1/5/15
2/4/15 Reflashed PVT Daily Tx
2/4/15 Turned on w OTA 2:30pm",
DVT037,013949004661529,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT038,013949004635481,BT,,DVT1,MP,GJack,OK,,,,
DVT039,013949004627231,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT040,013949004661297,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT041,013949004629674,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT042,013949004660752,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT043,013949004635473,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT044,013949004660455,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT045,013949004628585,ETH,89251011230169166306,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT046,013949004633569,ETH,89251011230169166454,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT047,013949004637446,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT048,013949004628072,BT,,DVT1,MP,SF,OK,,,,
DVT049,013949004627538,ETH,89251011230169166470,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT050,013949004634666,ETH,89251011230169166322,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT051,013949004636745,ETH,89251011230169166249,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT052,013949004623990,ETH,89251011230169166496,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT053,013949004658871,BT,,DVT1,MP,In Transit to Ethiopia,OK,,,,
DVT054,013949004636463,ETH,,DVT2,MP,NY,OK,,,Received 1/5/15,
DVT055,013949004636802,ETH,,DVT2,MP,NY,OK,,,"Received 1/5/15
2/2/15 Reflashed PVT Daily Tx",
DVT056,013949004624048,ETH,89251011230169166215,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT057,013949004635143,ETH,89251011230169166439,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT058,013949004637487,ETH,,DVT2,MP,NY,OK,,,Received 1/5/15,
DVT059,013949004627157,ETH,89251011230169166280,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT060,013949004628320,ETH,,DVT2,MP,GJack,OK,,,,
DVT061,013949004628411,ETH,89251011230169166397,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT062,013949004660489,ETH,89251011230169166389,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT063,013949004658855,ETH,89251011230169166256,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT064,013949004636729,ETH,,DVT2,MP,GJack,OK,,,,
DVT065,013949004660521,ETH,89251011230169166298,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT066,013949004636737,ETH,89251011230169166314,DVT2,MP,In Transit to Ethiopia,OK,,,installed Dec 4,
DVT067,013949004660695,ETH,89251011230169166413,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT068,013949004661487,ETH,89251011230169166405,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT069,013949004637362,ETH,,DVT2,MP,GJack,OK,,,,
DVT070,013949004636711,ETH,,DVT2,MP,GJack,OK,,,,
DVT071,013949004661784,ETH,,DVT2,MP,NY,OK,,,"Received 1/5/15
2/2/15 Reflashed PVT Weekly Tx",
DVT072,013949004661495,ETH,,DVT2,MP,GJack,OK,,,,
DVT073,013949004661511,ETH,,DVT2,MP,GJack,OK,,,,
DVT074,013949004628080,ETH,,DVT2,MP,GJack,OK,,,,
DVT075,013949004662311,ETH,,DVT2,MP,GJack,OK,,,,
DVT076,013949004661198,ETH,89251011230169166330,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT077,013949004661776,ETH,,DVT2,MP,NY,OK,,,Received 1/5/15,
DVT078,013949004635457,ETH,,DVT2,MP,GJack,OK,,,,
DVT079,013949004661867,ETH,,DVT2,MP,NY,OK,,,"Received 1/5/15
2/2/15 Reflashed PVT Daily Tx",
DVT080,013949004624014,ETH,,DVT2,MP,GJack,OK,,,,
DVT081,013949004661206,ETH,89251011230169166272,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT082,013949004636836,ETH,89251011230169166504,DVT2,MP,SF,OK,,,,
DVT083,013949004657683,ETH,,DVT2,MP,NY,OK,,,Received 1/5/15,
DVT084,013949004660547,ETH,,DVT2,MP,NY,OK,,,"Received 1/5/15
2/2/15 Reflashed PVT Weekly Tx",
DVT085,013949004627264,ETH,89251011230169166363,DVT2,MP,In Transit to Ethiopia,OK,,,Weekly packet recieved 12/10,
DVT086,013949004635549,ETH,,DVT2,MP,GJack,OK,,,,
DVT087,013949004633304,ETH,,DVT2,MP,GJack,OK,,,,
DVT088,013949004660653,ETH,89251011230169166462,DVT2,MP,In Transit to Ethiopia,OK,,,,
DVT089,013949004660539,ETH,,DVT2,MP,NY,OK,,,"Received 1/5/15
2/2/15 Reflashed PVT Daily Tx",
DVT090,013949004625219,BT,,DVT1,MP,GJack,OK,,,,
DVT091,013949004627140,BT,,DVT1,MP,GJack,OK,,,,
DVT092,013949004637396,BT,,DVT1,MP,GJack,OK,,,,
DVT093,013949004635531,BT,,DVT1,MP,GJack,OK,,,,
DVT094,013949004637412,BT,,DVT1,MP,GJack,OK,,,,
DVT095,013949004634773,BT,,DVT1,MP,GJack,OK,,,,
DVT096,013949004660554,BT,,DVT1,MP,GJack,OK,,,,
DVT097,013949004630086,BT,,DVT1,MP,GJack,OK,,,,
DVT098,013949004635382,BT,,DVT1,MP,GJack,OK,,,,
DVT099,013949004662170,BT,,DVT1,MP,GJack,OK,,,,
DVT100,013949004636703,BT,,DVT1,MP,GJack,OK,,,,
DVT101,013949004661461,BT,,DVT1,MP,GJack,OK,,,,
DVT102,013949004627223,BT,,DVT1,MP,GJack,OK,,,,
DVT103,013949004630078,BT,,DVT1,MP,GJack,OK,,,,
DVT104,013949004633965,ETH,,DVT2,MP,GJack,OK,,,,
DVT105,013949004625029,ETH,,DVT2,MP,GJack,OK,,,,
DVT901,013949004626837,BT,,MP1,MP,NY,OK,full unit,yes,OTA time update needed,"re-flashed with MP, daily_transmission=1 for testing 11/18 (black unit)"
DVT903,013949004637347,ETH,,EVT2,MP,NY,,full unit,no -> yes,test unit for reworked,
DVT904/EVT042,013949004635051,BT,,EVT2,MP,NY,OK,full unit,no,2/2/15 Reflashed PVT Daily Tx,Re-flashed with daily_transmission=1 and plugged in on 12/01/14 12:45pm
DVT905,013777007479247,BT,,EVT,,NY,,full unit,yes,"2/4/15 Reflashed PVT Daily Tx
2/4/15 Turned on w OTA 3pm",Gray unit
DVT906,013777007508904,BT,,MP1,,NY-> Ethiopia,,full unit,no,Prepared for install in Ethiopia,"reflashed with MP firmware, dail_transmission=1 on 11/10/14 (black unit)
reflashed with MP firmware, daily_transmission=1 on 12/01/14 1PM EST and removed from casing, unplugged"
DVT907,013777007479619,ETH,,EVT2,R3,Ethiopia,,full unit,yes,,"Robert installed in Oct IMSI: 89251011230169166116, Firmware bug discovered: weekly transmission set to off
Robert re-flashed Dec 4 with MP firmware, daily and weekly set to 1. "
DVT908,012896007928010,BT,,BB02,,Ethiopia,,just PCBA,no,,Cardboard box test unit
EVT032,013949004635168,BT,,EVT2,MP,SF,OK,,,,
EVT041,013949004628049,BT,,EVT2,MP,SF,OK,,,,seeing data?
EVT901,013777007477969,ETH,,EVT1,,Ethiopia,,full unit,yes,ME Function Good; No Transmissions,"Installed ~8/11 (Joy)
Battery was pulled and reconnected 8/26 (Robert)"
EVT902,013777007508391,BT,,EVT1,,Ethiopia,,full unit,yes,ME Function Good; No Transmissions,Need to figure out more info on this sensor
TEST01,013949004634658,ZB,,Demo,MPDemo,NY,-,full unit,,awaiting testing,"silver evt059, arrived in NY 11/17/14"
TEST02,013949004661826,ZB,,Demo,MPDemo,NY,-,full unit,,awaiting testing,"silver, arrived in NY 11/17/14"
TEST03*,013949004662105,ZB,,Demo,MPDemo,NY,-,full unit,,awaiting testing,"grey, DVT003, arrived in NY 11/17/14; has nameplate ""DVT003"" but is not actually that unit"
TEST04,013777007509209,ZB,,Demo,MPDemo,NY,-,full unit,,awaiting testing,"silver, arrived in NY 11/17/14"
,013949004634708,BT,,EVT2,MPDemo,NY,OK,full unit,no,"2/4/15 Reflashed PVT Daily Tx
2/4/15 Turned on w OTA 3:00pm",Clear unit
,013777007479650,ETH,,EVT1,,NY,-,PCBA,no,,"Shipped from SF to NY ~8/8, no battery - old connector"
,012896007936923,ETH,,BB02,,NY,-,PCBA,no,not in use,
,012896007920132,BT,,BB02,,NY,,3D print,no,not in use,
,012896007920033,BT,,BB02,,Ethiopia,,PCBA,no,short circuited and decommissioned,
,012896007917278,ETH,,BB02,,Ethiopia,,,,,3D printed clear/blue
,013777007477662,ETH,,MP1,,,,,,successful transmission in Ethiopia,gray test box with switch. Reflashed Dec 4
000001,,BT,,PVT,,Not shipped,,,,,
000002,13949004632686 ,BT,,PVT,,Shipped,,,,,This unit cannot be found from the IMEI checker program somehow. A new PCBA will be sent for this PCBA replacement later on.
000003,,BT,,PVT,,Not shipped,,,,,
000004,,BT,,PVT,,Not shipped,,,,,
000005,13949004655364 ,BT,,PVT,,Shipped,,,,,
000006,13949004656776 ,BT,,PVT,,Shipped,,,,,
000007,13949004661842 ,BT,,PVT,,Shipped,,,,,
000008,13949004625821 ,BT,,PVT,,Shipped,,,,,
000009,,BT,,PVT,,Not shipped,,,,,
000010,13949004628809 ,BT,,PVT,,Shipped,,,,,
