id,deployment_code,community_name,population,cost_estimate,plaque_text,location_type_id,project_type_id,status_id,grant_id,grant_program_id,region,rehab,revenue_category,package_id,fluxx_regrant_id,possible_location_types,state,district,sub_district,system_name,water_point_name,latitude,longitude
new,ET.GOH.Q2.13.144.001,Kertem,225,9063.85,The Art of Non-Conformity,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,,,Tigray,Adwa,Selam,,,14.09998,38.99942
6912,ET.GOH.Q2.13.144.002,Enda mihirey belay,150,9063.85,Believe in the Lord Jesus Š—– He Loves you.,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Selam,,,14.20383,39.03673
6913,ET.GOH.Q2.13.144.003,sagla,200,9063.85,"Exigo Office, Inc.",CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Selam,,,13.97708,38.79304
6914,ET.GOH.Q2.13.144.004,May sgemo,250,9063.85,YOU ARE LOVED,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Selam,,,13.52829,38.96908
6915,ET.GOH.Q2.13.144.005,Grat daero ,250,9063.85,Vintage City Church,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Gendebta ,,,14.02506,39.01835
6916,ET.GOH.Q2.13.144.006,Duka ,200,9063.85,In Memory of Mary Esvelt/ A woman of noble character,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Gendebta ,,,13.93616,38.76069
6917,ET.GOH.Q2.13.144.007,Tina Asasu,300,9063.85,Harold L. Moss,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Tahtay logomity,,,14.05561,38.95633
6918,ET.GOH.Q2.13.144.008,Sewhi may Shekel,375,9063.85,Next Jump,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Tahtay logomity,,,14.21279,39.04472
6919,ET.GOH.Q2.13.144.009,Felfelo,300,9063.85,Next Jump,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Laelay Logomity,,,13.7176,38.7767
6920,ET.GOH.Q2.13.144.010,May hutsa,300,9063.85,Next Jump,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Laelay Logomity,,,14.02809,39.01536
6921,ET.GOH.Q2.13.144.011,Gedena,275,9063.85,Next Jump,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Laelay Logomity,,,13.49762,38.86473
6922,ET.GOH.Q2.13.144.012,Neguady,250,9063.85,Elkton United Methodist Church,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Laelay Logomity,,,14.23312,39.06561
6923,ET.GOH.Q2.13.144.013,Adi-hinkuro,300,9063.85,Elkton United Methodist Church,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Laelay Logomity,,,13.55245,39.03566
6924,ET.GOH.Q2.13.144.014,Menkorakuh(menchelachil),250,9063.85,Jesper Wikstrom,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Laelay Logomity,,,14.11884,39.00675
6925,ET.GOH.Q2.13.144.015,Hutsa,250,9063.85,Jesper Wikstrom,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Weyenti,,,13.53998,39.03643
6926,ET.GOH.Q2.13.144.016,Girat sebahat,200,9063.85,Jesper Wikstrom,CO,3,1,1174,120,Tigray,0,MYCW_0K-5K,126,364,Community,Tigray,Adwa,Weyenti,,,14.14741,39.0075
6927,ET.GOH.Q2.13.144.017,Maidaero,250,9063.85,Kevin and Kristin Mallon,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,Adwa,Weyenti,,,13.71544,38.78978
6928,ET.GOH.Q2.13.144.018,Maikerni,275,9063.85,Chris and Grace Pretorius,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,Adwa,Weyenti,,,14.07074,39.05411
6929,ET.GOH.Q2.13.144.019,Darka,250,9063.85,Chris and Grace Pretorius,CO,3,1,1174,120,Tigray,0,MYCW_OVER_10K,127,364,Community,Tigray,Adwa,Weyenti,,,14.43737,38.97581
