id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,plaque_text,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name,latitude_display,longitude_display
51456,ET.GOH.Q3.13.148.001,rahya,300,,13.93791,39.37133,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,253,,417,Community,,,,Hawzien,Megab,,,,
51457,ET.GOH.Q3.13.148.002,kalayyawi,350,,13.91877,39.40982,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,239,,417,Community,,,,Hawzien,Megab,,,,
51458,ET.GOH.Q3.13.148.003,adiarbaete,350,,13.91647,39.37536,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,240,,417,Community,,,,Hawzien,Megab,,,,
51459,ET.GOH.Q3.13.148.004,adishimenayay,350,,13.92114,39.3819,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,247,,417,Community,,,,Hawzien,Megab,,,,
51460,ET.GOH.Q3.13.148.005,Girahantsetsay,300,,13.93556,39.41465,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,251,,417,Community,,,,Hawzien,Megab,,,,
51461,ET.GOH.Q3.13.148.006,Edagageralta,250,,13.89263,39.42029,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,257,,417,Community,,,,Hawzien,Digum,,,,
51462,ET.GOH.Q3.13.148.007,Serdi,275,,13.88293,39.41825,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,269,,417,Community,,,,Hawzien,Digum,,,,
51463,ET.GOH.Q3.13.148.008,Sifragala,300,,13.8921,39.42418,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,274,,417,Community,,,,Hawzien,Digum,,,,
51464,ET.GOH.Q3.13.148.009,Maysiye,400,,13.87199,39.41463,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,310,,417,Community,,,,Hawzien,Digum,,,,
51465,ET.GOH.Q3.13.148.010,Mai ayni,300,,13.87052,39.42949,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,283,,417,Community,,,,Hawzien,Digum,,,,
51466,ET.GOH.Q3.13.148.011,Laelay rahya,250,,13.95632,39.38211,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,286,,417,Community,,,,Hawzien,D/hiwot,,,,
51467,ET.GOH.Q3.13.148.012,Aftsebib,200,,13.95766,39.39072,5865.44,,CO,3,,1,1206,143,,,Tigray,,0,WPS,293,,417,Community,,,,Hawzien,D/hiwot,,,,
