id,deployment_code,community_name,population,population_override,latitude,longitude,cost_estimate,cost_actual,other_funding_amt,other_funding_donation_count,completion_date,partner_project_code,plaque_text,project_specific_field_notes,internal_notes,image_url,location_type_id,project_type_id,sub_project_type_id,status_id,grant_id,grant_program_id,d2p_batch_id,mycw,region,funding_source,rehab,revenue_category,package_id,fluxx_id,fluxx_regrant_id,possible_location_types,review_status_name,resubmission_notes,state,district,sub_district,system_name,water_point_name,latitude_display,longitude_display
52024,ET.GOH.Q4.13.156.179,May Agam,250,,13.92161,38.77086,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Metaklo,,,,
52025,ET.GOH.Q4.13.156.180,May Adi Wira,250,,13.93054,38.75806,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Metaklo,,,,
52026,ET.GOH.Q4.13.156.181,May Alekto,100,,13.84756,38.58949,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Sabe ruba adet,,,,
52027,ET.GOH.Q4.13.156.182,Frge abede,250,,13.84176,38.58826,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Sabe ruba adet,,,,
52028,ET.GOH.Q4.13.156.183,May dunkul,200,,13.8381,38.58937,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Sabe ruba adet,,,,
52029,ET.GOH.Q4.13.156.184,Newah Daero,200,,13.83713,38.59024,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Sabe ruba adet,,,,
52030,ET.GOH.Q4.13.156.185,May Hasaso,200,,13.83655,38.59659,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Sabe ruba adet,,,,
52031,ET.GOH.Q4.13.156.186,May Kumel,175,,13.82909,38.58045,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Sabe ruba adet,,,,
52032,ET.GOH.Q4.13.156.187,May Sleo,200,,13.82562,38.58411,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Sabe ruba adet,,,,
52033,ET.GOH.Q4.13.156.188,May Gasa,175,,13.8203,38.58984,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Sabe ruba adet,,,,
52034,ET.GOH.Q4.13.156.189,May Gotiya,100,,13.84642,38.61075,10370.01,,0,,,,,,,,CO,1,,1,1207,144,,,,,0,MYCW_REC,379,,427,Community,,,,N/Adet,Sabe ruba adet,,,,
